contig_id,start_position,coverage
contig_495,1,0.00
contig_496,1,0.00
contig_497,1,0.00
contig_498,1,0.00
contig_499,1,0.00
contig_500,1,0.00
contig_501,1,0.00
contig_502,1,0.00
contig_503,1,0.00
contig_504,1,0.00
contig_505,1,0.00
contig_506,1,0.00
contig_507,1,0.00
contig_508,1,0.00
contig_509,1,0.00
contig_510,1,0.00
contig_511,1,0.00
contig_512,1,0.00
contig_513,1,0.00
contig_514,1,0.00
contig_515,1,0.00
contig_516,1,0.00
contig_517,1,0.00
contig_518,1,0.00
contig_519,1,0.00
contig_520,1,0.00
contig_521,1,0.00
contig_522,1,0.00
contig_523,1,0.00
contig_524,1,0.00
contig_525,1,0.00
contig_526,1,0.00
contig_527,1,0.00
contig_528,1,0.00
contig_529,1,0.00
contig_530,1,0.00
contig_531,1,0.00
contig_532,1,0.00
contig_533,1,0.00
contig_534,1,0.00
contig_535,1,0.00
contig_536,1,0.00
contig_537,1,0.00
contig_538,1,0.00
contig_539,1,0.00
contig_540,1,0.00
contig_541,1,0.00
contig_542,1,0.00
contig_543,1,0.00
contig_544,1,0.00
contig_545,1,0.00
contig_546,1,0.00
contig_547,1,0.00
contig_548,1,0.00
contig_549,1,0.00
contig_550,1,0.00
contig_551,1,0.00
contig_552,1,0.00
contig_553,1,0.00
contig_554,1,0.00
contig_555,1,0.00
contig_556,1,0.00
contig_557,1,0.00
contig_558,1,0.00
contig_559,1,0.00
contig_560,1,0.00
contig_561,1,0.00
contig_562,1,0.00
contig_563,1,0.00
contig_564,1,0.00
contig_565,1,0.00
contig_566,1,0.00
contig_567,1,0.00
contig_568,1,0.00
contig_569,1,0.00
contig_570,1,0.00
contig_571,1,0.00
contig_572,1,0.00
contig_573,1,0.00
contig_574,1,0.00
contig_575,1,0.00
contig_576,1,0.00
contig_577,1,0.00
contig_578,1,0.00
contig_579,1,0.00
contig_580,1,0.00
contig_581,1,0.00
contig_582,1,0.00
contig_583,1,0.00
contig_584,1,0.00
contig_585,1,0.00
contig_586,1,0.00
contig_587,1,0.00
contig_588,1,0.00
contig_589,1,0.00
contig_590,1,0.00
contig_591,1,0.00
contig_592,1,0.00
contig_593,1,0.00
contig_594,1,0.00
contig_595,1,0.00
contig_596,1,0.00
